"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullEmail","shouldThrowExceptionWhenLoginWithNullEmail()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","10","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Wed Apr 10 02:20:12 GMT 2024","Wed Apr 10 02:20:13 GMT 2024","663","","br.com.santocodigo.demotests.DemotestsApplicationTest","","br.com.santocodigo.demotests.DemotestsApplicationTest","main","main()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","143","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullPassword","shouldThrowExceptionWhenCreateWithNullPassword()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","8","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullPassword","shouldThrowExceptionWhenLoginWithNullPassword()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullUser","shouldThrowExceptionWhenLoginWithNullUser()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","11","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","193","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","21","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
"passed","Wed Apr 10 02:20:13 GMT 2024","Wed Apr 10 02:20:13 GMT 2024","15","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","shouldRetrieveTestUser","shouldRetrieveTestUser()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullEmail","shouldThrowExceptionWhenCreateWithNullEmail()",""
"passed","Wed Apr 10 02:20:14 GMT 2024","Wed Apr 10 02:20:14 GMT 2024","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
